year,avg_temp,7-year-MAT Global,14-year-MAT Global
1750,8.72,,
1751,7.98,,
1752,5.78,,
1753,8.39,,
1754,8.47,,
1755,8.36,,
1756,8.85,8.078571429,
1757,9.02,8.121428571,
1758,6.74,7.944285714,
1759,7.99,8.26,
1760,7.19,8.088571429,
1761,8.77,8.131428571,
1762,8.61,8.167142857,
1763,7.5,7.974285714,8.095714286
1764,8.4,7.885714286,8.072380952
1765,8.25,8.101428571,8.075285714
1766,8.41,8.161428571,8.083116883
1767,8.22,8.308571429,8.101904762
1768,6.78,8.024285714,8.095934066
1769,7.69,7.892857143,8.081428571
1770,7.69,7.92,8.070102041
1771,7.85,7.841428571,8.050102041
1772,8.19,7.832857143,8.042142857
1773,8.22,7.805714286,8.009693878
1774,8.77,7.884285714,7.995102041
1775,9.18,8.227142857,8.001938776
1776,8.3,8.314285714,8.01244898
1777,8.26,8.395714286,8.04255102
1778,8.54,8.494285714,8.086020408
1779,8.98,8.607142857,8.122142857
1780,9.43,8.78,8.166326531
1781,8.1,8.684285714,8.193163265
1782,7.9,8.501428571,8.227244898
1783,7.68,8.412857143,8.264387755
1784,7.86,8.355714286,8.295510204
1785,7.36,8.187142857,8.320204082
1786,8.26,8.084285714,8.338163265
1787,8.03,7.884285714,8.34377551
1788,8.45,7.934285714,8.347346939
1789,8.33,7.995714286,8.330816327
1790,7.98,8.038571429,8.311122449
1791,8.23,8.091428571,8.289387755
1792,8.09,8.195714286,8.268061224
1793,8.23,8.191428571,8.238367347
1794,8.53,8.262857143,8.201428571
1795,8.35,8.248571429,8.170306122
1796,8.27,8.24,8.151632653
1797,8.51,8.315714286,8.144693878
1798,8.67,8.378571429,8.146326531
1799,8.51,8.438571429,8.164285714
1800,8.48,8.474285714,8.192142857
1801,8.59,8.482857143,8.234897959
1802,8.58,8.515714286,8.276428571
1803,8.5,8.548571429,8.315918367
1804,8.84,8.595714286,8.355714286
1805,8.56,8.58,8.390612245
1806,8.43,8.568571429,8.417244898
1807,8.28,8.54,8.442142857
1808,7.63,8.402857143,8.452142857
1809,7.08,8.188571429,8.447857143
1810,6.92,7.962857143,8.428061224
1811,6.86,7.68,8.382653061
1812,7.05,7.464285714,8.317346939
1813,7.74,7.365714286,8.240714286
1814,7.59,7.267142857,8.154489796
1815,7.24,7.211428571,8.063673469
1816,6.94,7.191428571,7.969081633
1817,6.98,7.2,7.872755102
1818,7.83,7.338571429,7.782959184
1819,7.37,7.384285714,7.69755102
1820,7.62,7.367142857,7.611734694
1821,8.09,7.438571429,7.533061224
1822,8.19,7.574285714,7.473877551
1823,7.72,7.685714286,7.437959184
1824,8.55,7.91,7.434183673
1825,8.39,7.99,7.456326531
1826,8.36,8.131428571,7.503979592
1827,8.81,8.301428571,7.570816327
1828,8.17,8.312857143,7.645510204
1829,7.94,8.277142857,7.721632653
1830,8.52,8.391428571,7.807346939
1831,7.64,8.261428571,7.883163265
1832,7.45,8.127142857,7.939489796
1833,8.01,8.077142857,7.988979592
1834,8.15,7.982857143,8.032959184
1835,7.39,7.871428571,8.063877551
1836,7.7,7.837142857,8.082653061
1837,7.38,7.674285714,8.081836735
1838,7.51,7.655714286,8.063673469
1839,7.63,7.681428571,8.041632653
1840,7.8,7.651428571,8.007346939
1841,7.69,7.585714286,7.95622449
1842,8.02,7.675714286,7.910714286
1843,8.17,7.742857143,7.87255102
1844,7.65,7.781428571,7.828979592
1845,7.85,7.83,7.798163265
1846,8.55,7.961428571,7.786326531
1847,8.09,8.002857143,7.781020408
1848,7.98,8.044285714,7.785408163
1849,7.98,8.038571429,7.797346939
1850,7.9,8,7.808979592
1851,8.18,8.075714286,7.837653061
1852,8.1,8.111428571,7.870204082
1853,8.04,8.038571429,7.895714286
1854,8.21,8.055714286,7.924591837
1855,8.11,8.074285714,7.959489796
1856,8,8.077142857,7.988163265
1857,7.76,8.057142857,8.010612245
1858,8.1,8.045714286,8.029489796
1859,8.25,8.067142857,8.046428571
1860,7.96,8.055714286,8.053163265
1861,7.85,8.004285714,8.053265306
1862,7.56,7.925714286,8.044795918
1863,8.11,7.941428571,8.037857143
1864,7.98,7.972857143,8.035918367
1865,8.18,7.984285714,8.029387755
1866,8.29,7.99,8.020714286
1867,8.44,8.058571429,8.022142857
1868,8.25,8.115714286,8.026428571
1869,8.43,8.24,8.038265306
1870,8.2,8.252857143,8.050816327
1871,8.12,8.272857143,8.06622449
1872,8.19,8.274285714,8.08255102
1873,8.35,8.282857143,8.097959184
1874,8.43,8.281428571,8.114081633
1875,7.86,8.225714286,8.129897959
1876,8.08,8.175714286,8.147755102
1877,8.54,8.224285714,8.167959184
1878,8.83,8.325714286,8.193163265
1879,8.17,8.322857143,8.217346939
1880,8.12,8.29,8.23877551
1881,8.27,8.267142857,8.253673469
1882,8.13,8.305714286,8.267244898
1883,7.98,8.291428571,8.270918367
1884,7.77,8.181428571,8.265816327
1885,7.92,8.051428571,8.25
1886,7.95,8.02,8.231836735
1887,7.91,7.99,8.210918367
1888,8.09,7.964285714,8.188265306
1889,8.32,7.991428571,8.171530612
1890,7.97,7.99,8.158265306
1891,8.02,8.025714286,8.144081633
1892,8.07,8.047142857,8.124183673
1893,8.06,8.062857143,8.105612245
1894,8.16,8.098571429,8.091938776
1895,8.15,8.107142857,8.080510204
1896,8.21,8.091428571,8.065204082
1897,8.29,8.137142857,8.054183673
1898,8.18,8.16,8.052653061
1899,8.4,8.207142857,8.06377551
1900,8.5,8.27,8.081632653
1901,8.54,8.324285714,8.105510204
1902,8.3,8.345714286,8.132755102
1903,8.22,8.347142857,8.158163265
1904,8.09,8.318571429,8.181632653
1905,8.23,8.325714286,8.203061224
1906,8.38,8.322857143,8.222755102
1907,7.95,8.244285714,8.235714286
1908,8.19,8.194285714,8.24255102
1909,8.18,8.177142857,8.24755102
1910,8.22,8.177142857,8.253673469
1911,8.18,8.19,8.25744898
1912,8.17,8.181428571,8.258979592
1913,8.3,8.17,8.256326531
1914,8.59,8.261428571,8.255714286
1915,8.59,8.318571429,8.255306122
1916,8.23,8.325714286,8.253877551
1917,8.02,8.297142857,8.250306122
1918,8.13,8.29,8.248265306
1919,8.38,8.32,8.247857143
1920,8.36,8.328571429,8.248265306
1921,8.57,8.325714286,8.254081633
1922,8.41,8.3,8.261632653
1923,8.42,8.327142857,8.272346939
1924,8.51,8.397142857,8.288061224
1925,8.53,8.454285714,8.306938776
1926,8.73,8.504285714,8.33
1927,8.52,8.527142857,8.355510204
1928,8.63,8.535714286,8.375102041
1929,8.24,8.511428571,8.388877551
1930,8.63,8.541428571,8.404285714
1931,8.72,8.571428571,8.423877551
1932,8.71,8.597142857,8.445816327
1933,8.34,8.541428571,8.461632653
1934,8.63,8.557142857,8.477959184
1935,8.52,8.541428571,8.493367347
1936,8.55,8.585714286,8.51377551
1937,8.7,8.595714286,8.532959184
1938,8.86,8.615714286,8.548571429
1939,8.76,8.622857143,8.560612245
1940,8.76,8.682857143,8.573367347
1941,8.77,8.702857143,8.585918367
1942,8.73,8.732857143,8.6
1943,8.76,8.762857143,8.617959184
1944,8.85,8.784285714,8.635306122
1945,8.58,8.744285714,8.647653061
1946,8.68,8.732857143,8.657346939
1947,8.8,8.738571429,8.671428571
1948,8.75,8.735714286,8.684183673
1949,8.59,8.715714286,8.696632653
1950,8.37,8.66,8.701938776
1951,8.63,8.628571429,8.704285714
1952,8.64,8.637142857,8.705816327
1953,8.87,8.664285714,8.70877551
1954,8.56,8.63,8.705
1955,8.63,8.612857143,8.698571429
1956,8.28,8.568571429,8.686836735
1957,8.73,8.62,8.676632653
1958,8.77,8.64,8.666326531
1959,8.73,8.652857143,8.659795918
1960,8.58,8.611428571,8.651122449
1961,8.8,8.645714286,8.644489796
1962,8.75,8.662857143,8.639285714
1963,8.86,8.745714286,8.641428571
1964,8.41,8.7,8.644285714
1965,8.53,8.665714286,8.646938776
1966,8.6,8.647142857,8.647653061
1967,8.7,8.664285714,8.647653061
1968,8.52,8.624285714,8.647244898
1969,8.6,8.602857143,8.646530612
1970,8.7,8.58,8.647346939
1971,8.6,8.607142857,8.646428571
1972,8.5,8.602857143,8.64377551
1973,8.95,8.652857143,8.64377551
1974,8.47,8.62,8.644387755
1975,8.74,8.651428571,8.644795918
1976,8.35,8.615714286,8.641428571
1977,8.85,8.637142857,8.633673469
1978,8.69,8.65,8.630102041
1979,8.73,8.682857143,8.631326531
1980,8.98,8.687142857,8.634183673
1981,9.17,8.787142857,8.642959184
1982,8.64,8.772857143,8.653571429
1983,9.03,8.87,8.672653061
1984,8.69,8.847142857,8.691734694
1985,8.66,8.842857143,8.708571429
1986,8.83,8.857142857,8.726734694
1987,8.99,8.858571429,8.741428571
1988,9.2,8.862857143,8.75877551
1989,8.92,8.902857143,8.776734694
1990,9.23,8.931428571,8.799285714
1991,9.18,9.001428571,8.825306122
1992,8.84,9.027142857,8.852244898
1993,8.87,9.032857143,8.877244898
1994,9.04,9.04,8.90244898
1995,9.35,9.061428571,8.922040816
1996,9.04,9.078571429,8.943877551
1997,9.2,9.074285714,8.958469388
1998,9.52,9.122857143,8.978163265
1999,9.29,9.187142857,9.002755102
2000,9.2,9.234285714,9.029693878
2001,9.41,9.287142857,9.060306122
2002,9.57,9.318571429,9.092857143
2003,9.53,9.388571429,9.12755102
2004,9.32,9.405714286,9.161428571
2005,9.7,9.431428571,9.192142857
2006,9.53,9.465714286,9.223469388
2007,9.73,9.541428571,9.259795918
2008,9.43,9.544285714,9.295816327
2009,9.51,9.535714286,9.329693878
2010,9.7,9.56,9.364081633
2011,9.52,9.588571429,9.400816327
2012,9.51,9.561428571,9.432142857
2013,9.61,9.572857143,9.459693878
2014,9.57,9.55,9.482244898
2015,9.83,9.607142857,9.505102041
